CV,Cabo Verde,2033,Female,100,4956,4967,4982,5004,5031,5101,5189,5286,5399,5479,5524,5544,5543,5526,5487,5418,5341,5258,5199,5137,5056,4978,4899,4869,4866,4854,4837,4796,4794,4840,4890,4930,4951,4996,5086,5200,5294,5353,5395,5455,5481,5445,5416,5379,5347,5245,5129,5006,4797,4641,4424,4181,4028,4293,2910,3104,3443,3235,2898,2743,2801,2475,2485,2721,2753,2919,2890,2448,2635,2454,2517,2327,1740,2109,1763,1704,1529,1384,1337,1119,988,956,794,703,432,394,371,383,380,307,219,179,169,180,122,104,75,52,41,24,44,74,child,1763
TW,Taiwan,1994,Male,100,167664,166874,165565,168752,160527,169033,170119,162248,168853,182847,191163,198896,206662,208478,209316,209211,202173,204877,198661,182166,180871,180838,184539,189666,193649,194417,191000,193873,198808,200249,202707,202640,199926,197720,195785,191202,184631,183149,184528,176919,169447,165176,163995,152687,135726,123344,109042,94063,81945,84055,90507,90434,90269,90349,87373,83115,80544,78357,76355,75429,74665,75464,78969,82495,82838,80532,77845,74433,70495,63735,56145,52407,49767,44360,37643,32847,29627,26161,22950,20801,18708,17157,13627,9843,8119,6324,4903,3801,2841,2048,1503,1079,754,517,342,221,138,85,50,28,33,2,child,165565
GR,Greece,2032,Male,100,45061,44906,44756,44613,44495,44403,44358,44364,44437,44581,44819,45150,45573,46083,46680,47369,48143,48950,49774,50589,51455,52359,53186,53920,54548,55128,55660,56048,56337,56518,56562,56491,56340,56437,57110,57084,57276,58516,58594,59248,59831,60385,61290,61940,63373,65345,67909,70710,73559,76262,78795,81231,82263,82244,82229,82472,82792,82616,81902,81134,80875,80441,79565,78491,77422,75667,72841,69513,66306,64164,62359,61299,59816,57200,54381,51823,49411,46556,43297,40779,38487,35871,32649,29568,27321,25332,22608,18953,15287,12883,11174,10027,8910,7438,6046,4844,3893,2994,2213,1609,3282,1,child,44906
RS,Russia,2045,Male,100,627853,636727,644717,650982,655296,658246,660153,660569,658879,655212,650473,645478,640527,635858,631806,628937,628020,629589,634441,642683,654574,670419,689098,710357,733802,759107,786754,814977,841823,866599,888355,907447,923798,936218,944713,941098,922673,885531,828253,790377,794078,795887,767678,725195,691695,666866,667970,676264,679194,699591,720323,723975,759617,842229,915840,978383,1079846,1116996,1102402,1037997,1027798,1019978,938587,870050,838846,797624,767133,728498,709023,668617,633374,589278,570070,526691,498222,456266,396636,366510,356130,332987,318862,309563,291060,271439,244533,208187,180806,153367,125748,105261,87495,65432,52665,40646,30238,23764,15144,10509,7075,3136,6392,10,child,650473
MZ,Mozambique,1989,Male,100,257640,208852,190149,180892,174989,170648,173289,173872,169928,175945,175892,171291,167475,164661,161490,156527,150120,143522,136651,130317,123059,115199,108286,103492,98708,95342,95584,94474,90952,87390,85233,82501,81907,78847,75845,73168,70778,68468,65533,62580,59820,57372,55308,53032,50777,48627,46633,44795,42744,40672,38723,36970,35452,33657,31836,30119,28518,27033,25268,23452,21745,20238,18969,17579,16190,14896,13737,12710,11454,10190,9068,8149,7442,6603,5766,5017,4387,3863,3247,2651,2128,1709,1386,1047,744,531,410,348,253,173,116,75,48,29,18,11,6,4,2,1,1,24,child,98708
BD,Bermuda,2041,Female,100,353,355,358,359,364,367,369,371,374,379,382,385,386,388,393,394,396,399,403,400,400,401,401,407,399,395,401,402,398,391,402,393,398,401,407,415,423,425,426,425,429,427,428,435,457,435,407,413,439,483,441,429,425,422,415,414,415,403,399,386,376,365,363,359,353,362,365,366,378,380,388,397,415,432,462,483,510,517,523,516,494,485,466,430,402,358,325,293,259,235,210,183,160,136,120,101,85,70,55,46,129,11,child,385
GV,Guinea,1978,Male,97,87702,78608,73294,69282,65924,63114,60725,58607,56642,54791,53053,51444,49891,48373,46879,45420,43994,42612,41255,39905,38556,37214,35885,33613,32798,31336,30248,29522,28879,28106,27181,26123,25075,24322,23633,22932,22180,21392,20652,19976,19311,18645,17973,17331,16720,16132,15570,15002,14431,13878,13321,12802,12283,11771,11250,10748,10257,9770,9287,8804,8329,7860,7394,6929,6477,6024,5591,5156,4732,4308,3902,3509,3125,2757,2412,2085,1781,1506,1252,1024,819,643,495,367,269,192,136,98,66,43,28,18,11,7,4,2,1,1,0,0,0,42,child,17973
BX,Brunei,1991,Male,100,3140,3463,3419,3448,3451,3312,3109,2927,2839,2776,2979,2846,2734,2640,2556,2510,2505,2503,2487,2478,2485,2511,2555,2615,2700,2734,2726,2747,2814,2905,2974,3004,2996,2923,2812,2700,2594,2463,2305,2134,1950,1769,1602,1459,1332,1219,1105,1008,928,860,808,772,732,682,634,582,538,503,477,453,443,422,411,382,355,322,302,277,259,246,231,217,201,183,167,150,136,125,115,109,96,80,70,59,47,39,29,23,17,13,7,8,4,2,2,1,1,0,0,0,1,10,child,2979
ES,El Salvador,2046,Female,100,30777,30898,31078,31313,31607,31970,32427,32956,33533,34163,34785,35384,35980,36569,37133,37603,37976,38308,38529,38657,38648,38533,38338,38022,37574,37090,36770,36540,36255,35912,35567,35546,35800,36012,36190,36366,37045,38175,39262,40423,41486,42800,44063,45400,46698,47890,49102,50356,51412,52372,53031,52860,51804,50971,50115,48938,47681,46279,44962,43561,42170,41243,40502,39785,39236,38912,38355,37563,36309,35256,34518,33490,32302,30947,29717,28620,27301,26122,25076,23910,22521,20891,19144,17415,15643,13913,12292,10907,9708,8531,7366,6268,5251,4339,3528,2825,2223,1729,1323,989,2167,27,child,36540
SL,Sierra Leone,2000,Male,100,71366,63427,60026,57429,55239,53248,51609,50292,49415,49326,49014,47249,46039,44882,43399,41512,39870,38442,37148,35830,34435,33405,32639,32061,31513,30481,29948,29273,28372,28070,27851,27885,27492,26604,24661,22133,19950,17970,16403,15216,14235,13598,13016,12617,12381,12067,12010,12008,11932,11707,11185,10805,10467,10192,10004,9653,9500,9313,9104,8803,8273,7903,7542,7195,6795,6241,5857,5473,5133,4763,4303,3977,3659,3345,2955,2507,2157,1846,1588,1344,1092,916,758,628,504,377,303,236,185,132,86,69,49,36,23,13,9,5,4,2,3,40,child,14235
SC,Saint Kitts and Nevis,2013,Female,100,346,348,351,354,354,358,349,342,339,355,387,411,429,435,431,440,431,402,412,402,381,371,393,414,396,371,387,400,420,423,398,388,396,401,380,365,429,404,347,378,364,370,359,347,347,353,367,371,373,371,377,367,372,367,361,342,324,303,274,246,225,196,177,169,145,137,130,128,122,114,111,101,105,101,91,87,83,77,77,74,71,71,68,61,59,54,47,41,35,29,24,20,17,16,11,10,7,6,3,4,4,86,child,47
UZ,Uzbekistan,2025,Male,100,235084,238020,240926,243369,245111,245937,246344,246411,245564,243817,241242,239422,238382,236690,234555,232265,232273,234100,235071,235447,235632,238030,245606,253572,250623,248398,253127,265571,283687,296223,295132,294361,304993,313057,309585,298764,293651,299366,298885,290401,274587,256533,241629,232293,222418,214512,206190,194774,192402,189757,181121,175416,171342,164850,157556,145666,143181,138973,133504,134148,132411,130488,128337,125730,124995,115562,105702,97284,86412,77182,68305,60027,55736,50860,45679,38971,30753,27479,23813,16691,11611,10397,13460,15390,15890,14870,12823,10661,8890,6851,4915,3843,3360,2446,2008,1609,1231,874,550,328,414,42,child,241629
CA,Canada,2014,Male,100,183035,182599,182141,181689,181318,181303,181719,182288,183193,184499,185563,185573,187464,189466,192841,198808,198345,208885,223833,228806,233544,237845,244966,245710,246468,238344,233572,236198,240408,241249,239594,238078,238215,237535,235961,230969,227633,227226,228755,227859,220459,221885,224910,232522,233747,231089,231567,236701,249364,267205,275114,277890,274115,275564,270381,263730,260542,253555,242922,239712,230145,219837,213383,208740,203636,198430,196663,194659,168696,155789,148357,141166,129002,121166,112083,105722,98337,91386,87604,81503,75782,72461,68229,62728,56843,49961,45063,39570,32601,27606,23054,19069,15578,12606,10054,7877,6037,4505,3291,2367,4637,89,child,27606
